,delta,theta,alpha,beta,gamma
Fp1,1.2183983751247496e-12,5.96157971504696e-13,6.023323801612995e-13,6.580829521332591e-13,2.399299338886803e-13
Fp2,1.1750958868473072e-12,5.675088929976944e-13,5.366184177154362e-13,4.2599903616971884e-13,1.1125519284190945e-13
F7,2.72826804308052e-12,1.3655572236426288e-12,1.3265073235461806e-12,7.925316192785991e-13,2.660953697906404e-13
F3,8.592091094612001e-13,4.5122088101366603e-13,3.861512238583457e-13,3.7945891852060835e-13,1.0582586584217322e-13
Fz,2.0951352072732953e-13,1.0513694511713366e-13,8.683704144745604e-14,8.579537287851423e-14,1.3301362171897214e-14
F4,6.559696482952299e-13,4.046037233103429e-13,3.7118342129913507e-13,3.236027156378956e-13,6.55190650119981e-14
F8,2.013810251073102e-12,1.02534616685487e-12,1.0844902967163593e-12,6.351666028350481e-13,1.5558573110949068e-13
FC5,1.8820114263024266e-12,1.051610189684285e-12,1.249980040365531e-12,1.3749598089778142e-12,8.454851350366765e-13
FC1,1.4864749048530053e-13,1.0626812163525285e-13,1.2256218887554177e-13,1.0239244430015248e-13,1.5264528403427454e-14
FC2,1.3727725187652394e-13,1.2126267612586065e-13,1.430873587596334e-13,1.1151518035206319e-13,1.3044435540742441e-14
FC6,1.3588331832717538e-12,8.460172687258605e-13,1.0274214613663432e-12,6.097357997863965e-13,1.1333811600969528e-13
C3,1.0257814986748788e-12,7.334300375170918e-13,1.4344253433084323e-12,9.433342914575166e-13,9.554833057625785e-14
Cz,2.632151547129362e-13,1.5194390930030847e-13,1.5194881283846936e-13,1.3831467124880299e-13,1.1018594565340901e-14
C4,1.0520735153979875e-12,8.629644389875219e-13,1.837835705417456e-12,1.0303828986341761e-12,5.435031246985023e-14
T8,2.578121809455342e-12,1.6098396091044708e-12,2.3227397517339605e-12,1.1951697604792397e-12,1.8654736596205787e-13
CP5,1.952460498875209e-12,1.4146701279616426e-12,3.446679598144103e-12,2.0412809909445373e-12,3.146608255492329e-13
CP1,1.0863389932581598e-12,7.755506347094784e-13,1.755671715669818e-12,9.238595620736147e-13,4.288359089518632e-14
